[archery   Overdraw 1: Bows do a total of 20% more than base damage. | TVD = 1.0 | Preference = 0;
,archery   Overdraw 2: Bows do a total of 40% more than base damage. | TVD = 0.0 | Preference = 0;
,archery   Overdraw 3: Bows do a total of 60% more than base damage. | TVD = 0.0 | Preference = 0;
,archery   Overdraw 4: Bows do a total of 80% more than base damage. | TVD = 0.0 | Preference = 0;
,archery   Overdraw 5: Bows do a total of 100% more than base damage. | TVD = 0.0 | Preference = 0;
,archery   Eagle Eye: Pressing Block while aiming will zoom in your view. | TVD = 0.0 | Preference = 0;
,archery   Critical Shot 1: A total of a 10% chance of critical hit. | TVD = 0.0 | Preference = 0;
,archery   Critical Shot 2: A total of a 15% chance of critical hit. | TVD = 0.0 | Preference = 0;
,archery   Critical Shot 3: A total of a 20% chance of critical hit. | TVD = 0.0 | Preference = 0;
,archery   Steady Hand 1: Zooming in with a bow slows time by a total of 25% | TVD = 0.0 | Preference = 0;
,archery   Steady Hand 2: Zooming in with a bow slows time by a total of 50% | TVD = 0.0 | Preference = 0;
,archery   Power Shot: 50% change for arrows to stagger all but the largest opponents | TVD = 0.0 | Preference = 0;
,archery   Hunter's Discipline: Recover twice as many arrows from dead bodies | TVD = 0.0 | Preference = 0;
,archery   Ranger: Able to move faster with a drawn bow | TVD = 0.0 | Preference = 0;
,archery   Quick Shot: Can draw a bow 30% faster | TVD = 0.0 | Preference = 0;
,archery   Bullseye: 15% chance of paralyzing target for several seconds [Quick Shot] | TVD = 0.0 | Preference = 0;
,archery   Bullseye: 15% chance of paralyzing target for several seconds [Ranger] | TVD = 0.0 | Preference = 0;
,block   Shield Wall 1: Blocking is a total of 20% more effective | TVD = 0.0 | Preference = 0;
,block   Shield Wall 2: Blocking is a total of 25% more effective | TVD = 0.0 | Preference = 0;
,block   Shield Wall 3: Blocking is a total of 30% more effective | TVD = 0.0 | Preference = 0;
,block   Shield Wall 4: Blocking is a total of 35% more effective | TVD = 0.0 | Preference = 0;
,block   Shield Wall 5: Blocking is a total of 40% more effective | TVD = 0.0 | Preference = 0;
,block   Deflect Arrows: Arrows that hit the shield do no damage | TVD = 0.0 | Preference = 0;
,block   Quick Reflexes: Time slows down if you are blocking during an enemy's power attack | TVD = 0.0 | Preference = 0;
,block   Power Bash: Able to do a power bash | TVD = 0.0 | Preference = 0;
,block   Elemental Protection: Blocking with a shield reduces incoming fire, frost and shock damage by 50% | TVD = 0.0 | Preference = 0;
,block   Deadly Bash: Bashing does five times more damage | TVD = 0.0 | Preference = 0;
,block   Block Runner: Able to move faster with a shield raised | TVD = 0.0 | Preference = 0;
,block   Disarming Bash: Chance to disarm when power bashing | TVD = 0.0 | Preference = 0;
,block   Shield Charge: Sprinting with a shield raised knocks down most targets [Block Runner] | TVD = 0.0 | Preference = 0;
,block   Shield Charge: Sprinting with a shield raised knocks down most targets [Disarming Bash] | TVD = 0.0 | Preference = 0;
